What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
Malaysia,IT and Services,,Engineering,,Professional level,6 months to 11 months,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,The flexibility to work from any location,,Less than 1 week,1 week,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,Just me,100%,No,No,No,Mileage,Between $5 and $10,Between $1 and $100,"up to $25,000",Not disturb by others,No
Malaysia,IT and Services,,Operations,,Executive level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to work from home,,Less than 1 week,1 week,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"up to $25,000",No more stress driving to work,
United States,Software,,Design,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Partially,Partially,"Home office supplies, including furniture",Between $20 and $30,Between $1 and $100,"$100,000 to $125,000",How natural it feels,
Canada,Software,,Engineering,,Professional level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,0,Unplugging after work,,Ability to spend time with family,,2 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,,,,"$75,001 to $100,000",,
United States,Marketing,,Marketing and Advertising,,Management level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,The flexibility to work from any location,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,,"$25,001 to $50,000",,
Brazil,IT and Services,,Engineering,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,2 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",It's easy to be productive,
Spain,Software,,Engineering,,Professional level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,5 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,,"$75,001 to $100,000",,
Poland,Government,,,Law,Senior level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,3 weeks,4 weeks,Home,,Home,,Never,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,No,,,"$25,001 to $50,000","That I use it much less than I would be able to - some days I prefer to commute to office anyway, to get some serious focus","My commute is not that long - like half an hour. I like to mix my day - spend 3-4 hours at the office and the. Take the rest home, habing a nice break between"
United States,Marketing,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,4 weeks,Unlimited,Home,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"$25,001 to $50,000",,
India,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,0,Loneliness,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,,"$50,001 to $75,000","That it does not affect productivity. If anything, it improves productivity.",
United Kingdom,Marketing,,,Social Media,Entry level,Less than six months,26 to 50%,I would like to work remotely more often.,1,1,Taking vacation time,,Ability to have a flexible schedule,,4 weeks,More than 6 weeks,Home,,Libraries,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"up to $25,000",Availability of freelance projects,
Poland,E-commerce,,Customer Support,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,4 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,"home office setup, self-education",,Between $201 and $300,"$50,001 to $75,000","How much more productive I am when working on my own, compared with open office setup. I used to spend much more time being ""at work"" than actually working.",Thanks for organizing this! Remote (or distributed) work is the future :-)
Algeria,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,,Between $1 and $5,,"$75,001 to $100,000",,
Turkey,Travel and Tourism,,Product,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Coffee shops and cafes,,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"$75,001 to $100,000",,
Montenegro,IT and Services,,Customer Support,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,3 weeks,4 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,No,,,Between $1 and $100,"$50,001 to $75,000",,
United Kingdom,Software,,Leadership,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,6 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,11 to 50,100%,Partially,No,Partially,Tax rules make covering drinks and other not exclusive work work benefits difficult. E.g. even home internet has to be taxed.,More than $30,Between $1 and $100,"Over $200,000",How people don’t easily recognise the value at interview  it love it once accustomed. Also the Stigma attached by legacy business leaders,
Sweden,Non-profit,,Leadership,,Management level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to spend time with family,,4 weeks,6 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,1 to 25%,No,No,No,No,Between $5 and $10,Between $1 and $100,"$50,001 to $75,000",I gett more done when i’m working frome home.,No
Netherlands,Consumer products,,,Learning and development,Senior level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,,Being perceived as 'available',Ability to work from home,,6 weeks,6 weeks,Home,,,The office,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,"No
",Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",The effectiveness and personal energy I get from it.,
United Kingdom,Marketing,,Marketing and Advertising,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,101 to 500,26 to 50%,No,No,No,Nothing at all. They see WFH as a benefit of its own.,,,"$25,001 to $50,000",More productive and less stressed from not commuting.,
Belgium,Medical and Healthcare,,Operations,,Professional level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,,More focus time,5 weeks,5 weeks,Home,,Not applicable,,Never,Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,-,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",The amount of work that I can do,
United States,Non-profit,,Product,,,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to work from home,,2 weeks,2 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,Cell phone,Between $20 and $30,,"$100,000 to $125,000",The isolation,
Thailand,Software,,Product,,Professional level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,4 weeks,Unlimited,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $100,"up to $25,000",The opportunities of meeting like minded people doing different and exciting things.,
United States,Media and Publishing,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to work from home,,1 week,Unlimited,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,,"$50,001 to $75,000","That people don't seem to understand that I cannot just stop working and have fun during the day. Because I am home, they seem to think I am more flexible than I am.",
India,Media and Publishing,,Engineering,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,None,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,No,No,None,Between $11 and $20,Between $101 and $200,"$25,001 to $50,000",That physical presence in office is not always required for good team communication,None
United States,Government,,Marketing and Advertising,,Professional level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,No,No,Between $1 and $5,,"$50,001 to $75,000",How much I love being away from office politics.,
