Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,Australia,Media and Publishing,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,5 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"More than 1,001",76 to 99%,No,No,Partially,Yes,Home office equipment,Not applicable,Between $101 and $200,"$100,000 to $125,000",Less stress,No
1,Australia,IT and Services,,Customer Support,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Not having to commute,,3 weeks,Unlimited,Home,,Libraries,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,Partially,Home Office Setup allowance,Between $11 and $20,Not applicable,"$75,001 to $100,000",How liberating it is and how much more in control I feel of my autonomy and the ownership of my work!,
1,Australia,Media and Publishing,,Operations,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,4 weeks,4 weeks,Company's office,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,Fewer than 10,51 to 75%,No,No,No,No,No,More than $30,Not applicable,"$75,001 to $100,000",How easy it is,"Love to work in office in mornings, at home in the afternoons."
1,Australia,Software,,Engineering,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Not being able to unplug,,Ability to spend time with family,,2 weeks,4 weeks,Home,,Libraries,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,Yes,No,No,,Between $1 and $5,Not applicable,"$50,001 to $75,000",The amount of extra time I spend actually working,Home workers need to install solar panels
1,Australia,Software,,Customer Support,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,3 weeks,4 weeks,Home,,Libraries,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,equipment budget as required,Not applicable,Not applicable,"$25,001 to $50,000",How isolating it can be,My three cats provide great support
1,Australia,Software,,Human Resources,,Professional level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,4 weeks,Unlimited,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Partially,No,Home office stipend,Not applicable,Not applicable,"$75,001 to $100,000",How much you can get done!,"If your company has well-defined communication guidelines and is transparent with information, this can work well. It takes a commitment to create and adhere to the standards so that everyone is on the same page and knows the expectations.  "
1,Australia,,Digital Strategy Consulting,,Consulting,Entry level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",1 to 25%,No,Yes,No,No,,More than $30,Not applicable,"$50,001 to $75,000",,
1,Australia,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,"I don't have a ""biggest struggle""; all of the above come up at one time or another, but none of them are consistently obstructive.",,All of the above,3 weeks,4 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,Yes,Partially,No,No,,Not applicable,Not applicable,"$100,000 to $125,000",How easy it is,No thank you
1,Australia,E-commerce,,Engineering,,Management level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Staying motivated,,Ability to spend time with family,,3 weeks,4 weeks,Company's office,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,51 to 100,1 to 25%,No,Yes,No,No,,Not applicable,Not applicable,"$50,001 to $75,000",How productive I am,
1,Australia,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Not having to commute,,4 weeks,4 weeks,Home,,Coffee shops,,Never,Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,None,Between $11 and $20,Not applicable,"$125,001 to $150,000",Missing coworkers,No
1,Australia,IT and Services,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to work from home,,4 weeks,4 weeks,Home,,Company's office,,Never,Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,,Not applicable,Not applicable,"$100,000 to $125,000",,
1,Australia,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,5 weeks,5 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,11 to 50,100%,Partially,Partially,No,No,Computer equipment,Not applicable,Not applicable,"$100,000 to $125,000",,
1,Australia,IT and Services,,Engineering,,Senior level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Not having to commute,,5 weeks,4 weeks,Home,,Libraries,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,No,Between $5 and $10,Not applicable,"$75,001 to $100,000",Being more productive at home than in an office.,No
1,Australia,,Entertainment,Engineering,,Senior level,Less than six months,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Company's office,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,101 to 500,1 to 25%,No,No,No,No,no,Not applicable,Not applicable,"$75,001 to $100,000",how lack of human interaction can affect one's work,no
1,Australia,IT and Services,,Human Resources,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,2 weeks,5 weeks,Home,,Company's office,,Never,Employee,,Everyone at my company works remotely,11 to 50,100%,No,Yes,Yes,No,Laptop,Between $11 and $20,Not applicable,"$50,001 to $75,000",How productive I am,I'd like to know how many remote working companies have an EAP (employee assist program). High stress and loneliness can often be correlated with remote work. I'd like to know if employers think to offer it. It would be nice to encourage it if they haven't with this survey asking the question.
1,Australia,Marketing,,Marketing and Advertising,,Senior level,More than 4 years,26 to 50%,I would like to work remotely more often.,1,1,Not being able to unplug,,Flexibility to work from any location,,2 weeks,4 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,101 to 500,1 to 25%,No,Yes,No,No,printer ink and paper,Not applicable,Not applicable,"$50,001 to $75,000",My output of work increased.,No
1,Australia,Marketing,,Leadership,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,3 weeks,Unlimited,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,Partially,Partially,No,No,Software,Between $11 and $20,Not applicable,"$50,001 to $75,000",I'm more productive because we don't have an excessive number of meetings or get pulled into office politics,
1,Australia,Software,,Marketing and Advertising,,Professional level,More than 4 years,100%,I would like to work remotely less often.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Libraries,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,No,Yes,Yes,Laptop + home office stipend,Not applicable,Not applicable,"$75,001 to $100,000",How normal it has become,
1,Australia,,Gambling,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,1 week,4 weeks,Home,,Coffee shops,,Infrequently (Less than a week per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,,Between $5 and $10,Not applicable,"$125,001 to $150,000",,
1,Australia,Marketing,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,11 to 50,100%,Partially,Yes,No,No,Buy fitbits for team to participate in “workweek hustle”.,Not applicable,Not applicable,"$125,001 to $150,000",That it’s taking companies so long to embrace it especially given commuting & carbon emissions contribution to climate crisis. And for all the other reasons!,
1,Australia,Software,,Design,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $301 and $400,"$125,001 to $150,000","That my output is of a higher quality, despite the challenges, and the fact that I work less hours then when I was in house",Being in Australia and working with West Coast US sucks. Timezones will always be my burden
1,Australia,Marketing,,Marketing and Advertising,,Professional level,More than 4 years,26 to 50%,I would like to work remotely less often.,1,1,,"As a freelancer, the amount / schedule of work can be fairly unstable.",Flexibility to work from any location,,Less than 1 week,None,Home,,Libraries,,Almost all the time,Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",People believe it's a dream job!,"The importance of managing own physical, mental and emotional wellbeing. :)"
1,Australia,Marketing,,,Community Management,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,At times unsocial hours,Ability to have a flexible schedule,,None,4 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$25,001 to $50,000",Why more companies don't embrace it,"The thing I appreciate about remote work is being able to fit it in with my life and optimum cognitive function hours, which is something my workplace recognises and champions."
